Zip Code,Year,Month,ZHVI,Date,Cluster,Data_Source,ZHVI_Upper,ZHVI_Lower
19103,2014,5,435320,5/1/2014,2,Historical,435320,435320
19103,2014,6,434320,6/1/2014,2,Historical,434320,434320
19103,2014,7,432909,7/1/2014,2,Historical,432909,432909
19103,2014,8,432029,8/1/2014,2,Historical,432029,432029
19103,2014,9,432584,9/1/2014,2,Historical,432584,432584
19103,2014,10,434296,10/1/2014,2,Historical,434296,434296
19103,2014,11,436397,11/1/2014,2,Historical,436397,436397
19103,2014,12,440382,12/1/2014,2,Historical,440382,440382
19103,2015,1,444025,1/1/2015,2,Historical,444025,444025
19103,2015,2,446793,2/1/2015,2,Historical,446793,446793
19103,2015,3,447362,3/1/2015,2,Historical,447362,447362
19103,2015,4,446179,4/1/2015,2,Historical,446179,446179
19103,2015,5,444343,5/1/2015,2,Historical,444343,444343
19103,2015,6,441673,6/1/2015,2,Historical,441673,441673
19103,2015,7,440572,7/1/2015,2,Historical,440572,440572
19103,2015,8,441228,8/1/2015,2,Historical,441228,441228
19103,2015,9,443662,9/1/2015,2,Historical,443662,443662
19103,2015,10,446899,10/1/2015,2,Historical,446899,446899
19103,2015,11,449949,11/1/2015,2,Historical,449949,449949
19103,2015,12,452974,12/1/2015,2,Historical,452974,452974
19103,2016,1,454517,1/1/2016,2,Historical,454517,454517
19103,2016,2,455537,2/1/2016,2,Historical,455537,455537
19103,2016,3,454705,3/1/2016,2,Historical,454705,454705
19103,2016,4,453389,4/1/2016,2,Historical,453389,453389
19103,2016,5,452468,5/1/2016,2,Historical,452468,452468
19103,2016,6,452047,6/1/2016,2,Historical,452047,452047
19103,2016,7,452498,7/1/2016,2,Historical,452498,452498
19103,2016,8,453144,8/1/2016,2,Historical,453144,453144
19103,2016,9,453847,9/1/2016,2,Historical,453847,453847
19103,2016,10,455415,10/1/2016,2,Historical,455415,455415
19103,2016,11,457842,11/1/2016,2,Historical,457842,457842
19103,2016,12,462368,12/1/2016,2,Historical,462368,462368
19103,2017,1,465558,1/1/2017,2,Historical,465558,465558
19103,2017,2,468354,2/1/2017,2,Historical,468354,468354
19103,2017,3,469233,3/1/2017,2,Historical,469233,469233
19103,2017,4,471356,4/1/2017,2,Historical,471356,471356
19103,2017,5,473033,5/1/2017,2,Historical,473033,473033
19103,2017,6,475062,6/1/2017,2,Historical,475062,475062
19103,2017,7,477462,7/1/2017,2,Historical,477462,477462
19103,2017,8,479363,8/1/2017,2,Historical,479363,479363
19103,2017,9,481311,9/1/2017,2,Historical,481311,481311
19103,2017,10,482242,10/1/2017,2,Historical,482242,482242
19103,2017,11,483054,11/1/2017,2,Historical,483054,483054
19103,2017,12,483525,12/1/2017,2,Historical,483525,483525
19103,2018,1,482164,1/1/2018,2,Historical,482164,482164
19103,2018,2,480841,2/1/2018,2,Historical,480841,480841
19103,2018,3,480026,3/1/2018,2,Historical,480026,480026
19103,2018,4,481775,4/1/2018,2,Historical,481775,481775
19103,2018,5,484763,5/1/2018,2,Historical,484763,484763
19103,2018,6,486505,6/1/2018,2,Historical,486505,486505
19103,2018,7,486719,7/1/2018,2,Historical,486719,486719
19103,2018,8,484948,8/1/2018,2,Historical,484948,484948
19103,2018,9,482915,9/1/2018,2,Historical,482915,482915
19103,2018,10,481272,10/1/2018,2,Historical,481272,481272
19103,2018,11,479573,11/1/2018,2,Historical,479573,479573
19103,2018,12,479043,12/1/2018,2,Historical,479043,479043
19103,2019,1,479043,1/1/2019,2,Historical,479043,479043
19103,2019,2,479611,2/1/2019,2,Historical,479611,479611
19103,2019,3,479533,3/1/2019,2,Historical,479533,479533
19103,2019,4,479748,4/1/2019,2,Historical,479748,479748
19103,2019,5,480057,5/1/2019,2,Historical,480057,480057
19103,2019,6,480227,6/1/2019,2,Historical,480227,480227
19103,2019,7,480348,7/1/2019,2,Historical,480348,480348
19103,2019,8,479595,8/1/2019,2,Historical,479595,479595
19103,2019,9,478132,9/1/2019,2,Historical,478132,478132
19103,2019,10,475211,10/1/2019,2,Historical,475211,475211
19103,2019,11,473282,11/1/2019,2,Historical,473282,473282
19103,2019,12,472867,12/1/2019,2,Historical,472867,472867
19103,2020,1,473665,1/1/2020,2,Historical,473665,473665
19103,2020,2,475487,2/1/2020,2,Historical,475487,475487
19103,2020,3,477744,3/1/2020,2,Historical,477744,477744
19103,2020,4,479271,4/1/2020,2,Historical,479271,479271
19103,2020,5,479172,5/1/2020,2,Historical,479172,479172
19103,2020,6,477595,6/1/2020,2,Historical,477595,477595
19103,2020,7,476452,7/1/2020,2,Historical,476452,476452
19103,2020,8,476202,8/1/2020,2,Historical,476202,476202
19103,2020,9,477290,9/1/2020,2,Historical,477290,477290
19103,2020,10,478805,10/1/2020,2,Historical,478805,478805
19103,2020,11,480369,11/1/2020,2,Historical,480369,480369
19103,2020,12,480996,12/1/2020,2,Historical,480996,480996
19103,2021,1,480232,1/1/2021,2,Historical,480232,480232
19103,2021,2,478813,2/1/2021,2,Historical,478813,478813
19103,2021,3,478050,3/1/2021,2,Historical,478050,478050
19103,2021,4,479203,4/1/2021,2,Historical,479203,479203
19103,2021,5,480377,5/1/2021,2,Historical,480377,480377
19103,2021,6,482058,6/1/2021,2,Historical,482058,482058
19103,2021,7,485793,7/1/2021,2,Historical,485793,485793
19103,2021,8,498254,8/1/2021,2,Historical,498254,498254
19103,2021,9,510715,9/1/2021,2,Historical,510715,510715
19103,2021,10,526152,10/1/2021,2,Historical,526152,526152
19103,2021,11,535690,11/1/2021,2,Historical,535690,535690
19103,2021,12,542968,12/1/2021,2,Historical,542968,542968
19103,2022,1,539787,1/1/2022,2,Historical,539787,539787
19103,2022,2,531060,2/1/2022,2,Historical,531060,531060
19103,2022,3,520095,3/1/2022,2,Historical,520095,520095
19103,2022,4,514876,4/1/2022,2,Historical,514876,514876
19103,2022,5,513642,5/1/2022,2,Historical,513642,513642
19103,2022,6,515810,6/1/2022,2,Historical,515810,515810
19103,2022,7,515026,7/1/2022,2,Historical,515026,515026
19103,2022,8,512289,8/1/2022,2,Historical,512289,512289
19103,2022,9,505229,9/1/2022,2,Historical,505229,505229
19103,2022,10,499435,10/1/2022,2,Historical,499435,499435
